version,ihl,tos,len,ip_flags,frag,ttl,proto,ip_options,time,sport,dport,dataofs,reserved,tcp_udp_flags,window,urgptr,tcp_udp_options,land,Avg_syn_flag,Avg_urg_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_lenght,Min_pkts_lenght,Max_pkts_lenght,StDev_pkts_lenght,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP
4,5,72,52,DF,0,64,6,0,1590746442.474698,55045,22,8,0,A,2047,0,3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,66.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,5,0,291,,0,128,17,0,1590746443.400387,54915,54915,,,,,,,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.925689,0.925689,0.925689,0.925689,0.0,371.0,66.0,305.0,168.99852070358486,1.0,0.0,0.0,0.0,0.0,0.0
4,5,0,52,DF,0,64,6,0,1590746443.437912,59980,443,8,0,A,501,0,3,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.963214,0.963214,0.037525,0.925689,0.6280267872057688,437.0,66.0,305.0,137.98671433632055,2.0,0.0,0.0,0.0,0.0,0.0
4,5,0,52,DF,0,57,6,0,1590746443.490354,443,59980,8,0,A,59,0,3,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,1.015656,1.015656,0.037525,0.925689,0.5085302565226577,503.0,66.0,305.0,119.5,3.0,0.0,0.0,0.0,0.0,0.0
4,5,0,291,,0,128,17,0,1590746444.413958,54915,54915,,,,,,,1,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,1.93926,1.93926,0.037525,0.925689,0.5079108929809112,808.0,66.0,305.0,130.9056912437347,3.0,0.0,0.0,0.0,0.0,0.0
4,5,0,202,,0,1,17,0,1590746444.418999,65525,1900,,,,,,,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,1.944301,1.944301,0.005041,0.925689,0.48940445913548847,1024.0,66.0,305.0,119.17326322068497,3.0,0.0,0.0,0.0,0.0,0.0
4,5,0,202,,0,1,17,0,1590746445.419204,65525,1900,,,,,,,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,2.944506,2.944506,0.005041,1.000205,0.5038886687009344,1240.0,66.0,305.0,110.13087452576377,3.0,0.0,0.0,0.0,0.0,0.0
4,5,0,291,,0,128,17,0,1590746445.428001,54915,54915,,,,,,,1,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,5.0,0.0,2.953303,2.953303,0.005041,1.000205,0.49474165009624205,1545.0,66.0,305.0,111.53274663267543,3.0,0.0,0.0,0.0,0.0,0.0
4,5,0,40,DF,0,64,6,0,1590746445.485906,34356,443,5,0,A,501,0,,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,5.0,0.0,3.011208,3.011208,0.005041,1.000205,0.47577709217327513,1599.0,54.0,305.0,114.1720193392409,4.0,0.0,0.0,0.0,0.0,0.0
4,5,0,40,DF,0,58,6,0,1590746445.503978,443,34356,5,0,A,67,0,,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,3.02928,3.02928,0.005041,1.000205,0.46079821126633075,1659.0,54.0,305.0,113.89220049385881,5.0,6.0,0.0,6.0,2.6832815729997477,0.0
4,5,0,202,,0,1,17,0,1590746446.420231,65525,1900,,,,,,,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,6.0,0.0,3.945533,3.945533,0.005041,1.000205,0.47153315946201846,1875.0,54.0,305.0,109.09845428452563,5.0,6.0,0.0,6.0,2.6832815729997477,0.0
4,5,0,291,,0,128,17,0,1590746446.441990,54915,54915,,,,,,,1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,7.0,0.0,3.967292,3.967292,0.005041,1.000205,0.46124105734495374,2180.0,54.0,305.0,111.03589373247597,5.0,6.0,0.0,6.0,2.6832815729997477,0.0
4,5,0,202,,0,1,17,0,1590746447.420513,65525,1900,,,,,,,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,8.0,0.0,4.945815,4.945815,0.005041,1.000205,0.4745688599091572,2396.0,54.0,305.0,106.73439356285661,5.0,6.0,0.0,6.0,2.6832815729997477,0.0
4,5,0,291,,0,128,17,0,1590746447.457026,54915,54915,,,,,,,1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,9.0,0.0,4.982328,4.982328,0.005041,1.000205,0.46615640834291516,2701.0,54.0,305.0,107.50060056055092,5.0,6.0,0.0,6.0,2.6832815729997477,0.0
4,5,0,196,DF,0,1,17,0,1590746447.973044,41824,1900,,,,,,,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,10.0,0.0,5.498346,5.498346,0.005041,1.000205,0.44927191792499116,2911.0,54.0,305.0,103.68390608456251,5.0,6.0,0.0,6.0,2.6832815729997477,0.0
4,5,0,291,,0,128,17,0,1590746448.469607,54915,54915,,,,,,,1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,11.0,0.0,5.994909,5.994909,0.005041,1.000205,0.4337584190904294,3216.0,54.0,305.0,103.93651908737371,5.0,6.0,0.0,6.0,2.6832815729997477,0.0
4,5,0,196,DF,0,1,17,0,1590746448.974065,41824,1900,,,,,,,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,12.0,0.0,6.499367,6.499367,0.005041,1.000205,0.4198686473134138,3426.0,54.0,305.0,100.65977203372931,5.0,6.0,0.0,6.0,2.6832815729997477,0.0
4,5,0,291,,0,128,17,0,1590746449.483480,54915,54915,,,,,,,1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,13.0,0.0,7.008782,7.008782,0.005041,1.000205,0.40730592438082774,3731.0,54.0,305.0,100.65363180119851,5.0,6.0,0.0,6.0,2.6832815729997477,0.0
4,5,0,196,DF,0,1,17,0,1590746449.975061,41824,1900,,,,,,,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,14.0,0.0,7.500363,7.500363,0.005041,1.000205,0.3955866040348107,3941.0,54.0,305.0,97.81974112818928,5.0,6.0,0.0,6.0,2.6832815729997477,0.0
4,5,0,52,DF,0,54,6,0,1590746450.259189,80,34927,8,0,A,275,0,3,0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,14.0,0.0,7.784491,7.784491,0.005041,1.000205,0.3856420297766763,4007.0,54.0,305.0,100.3248801591478,6.0,6.0,0.0,6.0,2.449489742783178,0.0
4,5,0,52,DF,0,64,6,0,1590746450.259235,34927,80,8,0,A,501,0,3,0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,14.0,0.0,7.784537,7.784537,4.6e-05,1.000205,0.38637242441121156,4073.0,54.0,305.0,102.08500192999762,7.0,6.0,0.0,6.0,2.2677868380553634,0.0
4,5,0,291,,0,128,17,0,1590746450.497212,54915,54915,,,,,,,1,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,15.0,0.0,8.022514,8.022514,4.6e-05,1.000205,0.37803283691560696,4378.0,54.0,305.0,102.39931175363948,7.0,6.0,0.0,6.0,2.2677868380553634,0.0
4,5,0,196,DF,0,1,17,0,1590746450.976081,41824,1900,,,,,,,0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,16.0,0.0,8.501383,8.501383,4.6e-05,1.000205,0.3694996014961122,4588.0,54.0,305.0,100.07127894438652,7.0,6.0,0.0,6.0,2.2677868380553634,0.0
4,5,0,291,,0,128,17,0,1590746451.511362,54915,54915,,,,,,,1,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,17.0,0.0,9.036664,9.036664,4.6e-05,1.000205,0.3623360664541121,4893.0,54.0,305.0,100.2138203174028,7.0,6.0,0.0,6.0,2.2677868380553634,0.0
4,5,0,108,DF,0,64,6,0,1590746451.645901,39822,443,8,0,PA,1722,0,3,0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,8.0,17.0,0.0,9.171203,9.171203,4.6e-05,1.000205,0.35827434930365126,5015.0,54.0,305.0,99.46104765183202,7.0,62.0,0.0,56.0,19.60867155112758,0.0
4,5,0,108,DF,0,44,6,0,1590746451.713999,443,39822,8,0,PA,9,0,3,0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,9.0,17.0,0.0,9.239301,9.239301,4.6e-05,1.000205,0.3563100974930966,5137.0,54.0,305.0,98.66313316611148,7.0,118.0,0.0,56.0,24.394899284709314,0.0
4,5,0,52,DF,0,64,6,0,1590746451.714046,39822,443,8,0,A,1722,0,3,0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,10.0,17.0,0.0,9.239348,9.239348,4.6e-05,1.000205,0.3565536219869579,5203.0,54.0,305.0,100.00608243610247,8.0,118.0,0.0,56.0,23.37044667475951,0.0
4,5,0,291,,0,128,17,0,1590746452.525798,54915,54915,,,,,,,1,0.0,0.0,0.0,8.0,2.0,0.0,0.0,10.0,18.0,0.0,10.0511,10.0511,4.6e-05,1.000205,0.3604933381030119,5508.0,54.0,305.0,100.4050526775152,8.0,118.0,0.0,56.0,23.37044667475951,0.0
4,5,0,291,,0,128,17,0,1590746453.540010,54915,54915,,,,,,,1,0.0,0.0,0.0,8.0,2.0,0.0,0.0,10.0,19.0,0.0,11.065312,11.065312,4.6e-05,1.014212,0.37397872673959304,5813.0,54.0,305.0,100.62539661213641,8.0,118.0,0.0,56.0,23.37044667475951,0.0
4,5,0,98,DF,0,64,6,0,1590746453.645714,44196,443,5,0,PA,501,0,0,0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,11.0,19.0,0.0,11.171016,11.171016,4.6e-05,1.014212,0.37115334878597267,5925.0,54.0,305.0,100.18525942920222,8.0,176.0,0.0,58.0,26.183964558485027,0.0
4,5,0,87,DF,0,111,6,0,1590746453.713412,443,44196,5,0,PA,2049,0,0,0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,12.0,19.0,0.0,11.238714,11.238714,4.6e-05,1.014212,0.3692763881375164,6026.0,54.0,305.0,100.01455808009646,8.0,223.0,0.0,58.0,26.520860857182985,0.0
4,5,0,40,DF,0,64,6,0,1590746453.713463,44196,443,5,0,A,501,0,,0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,13.0,19.0,0.0,11.238765,11.238765,4.6e-05,1.014212,0.36924992873006934,6080.0,54.0,305.0,101.46984296951516,9.0,223.0,0.0,58.0,25.909606178166666,0.0
4,5,0,291,,0,128,17,0,1590746454.553900,54915,54915,,,,,,,1,0.0,0.0,0.0,9.0,4.0,0.0,0.0,13.0,20.0,0.0,12.079202,12.079202,4.6e-05,1.014212,0.3729400645309955,6385.0,54.0,305.0,101.85839472403624,9.0,223.0,0.0,58.0,25.909606178166666,0.0
